Date,NDX.Close,Symbol
1/3/2017,4911.330078,^NDX
1/4/2017,4937.209961,^NDX
1/5/2017,4964.950195,^NDX
1/6/2017,5007.080078,^NDX
1/9/2017,5024.899902,^NDX
1/10/2017,5035.169922,^NDX
1/11/2017,5050.209961,^NDX
1/12/2017,5041.430176,^NDX
1/13/2017,5059.509766,^NDX
1/17/2017,5044.649902,^NDX
1/18/2017,5055.850098,^NDX
1/19/2017,5051.169922,^NDX
1/20/2017,5063.200195,^NDX
1/23/2017,5065.700195,^NDX
1/24/2017,5101.060059,^NDX
1/25/2017,5151.470215,^NDX
1/26/2017,5156.919922,^NDX
1/27/2017,5168.060059,^NDX
1/30/2017,5129.330078,^NDX
1/31/2017,5116.77002,^NDX
2/1/2017,5152.689941,^NDX
2/2/2017,5147.700195,^NDX
2/3/2017,5161.600098,^NDX
2/6/2017,5167.959961,^NDX
2/7/2017,5185.879883,^NDX
2/8/2017,5196.580078,^NDX
2/9/2017,5212.160156,^NDX
2/10/2017,5226.689941,^NDX
2/13/2017,5256.819824,^NDX
2/14/2017,5271.069824,^NDX
2/15/2017,5302.390137,^NDX
2/16/2017,5300.640137,^NDX
2/17/2017,5324.720215,^NDX
2/21/2017,5350.72998,^NDX
2/22/2017,5352.129883,^NDX
2/23/2017,5332.370117,^NDX
2/24/2017,5343.310059,^NDX
2/27/2017,5347.549805,^NDX
2/28/2017,5330.310059,^NDX
3/1/2017,5390.990234,^NDX
3/2/2017,5363.259766,^NDX
3/3/2017,5373.47998,^NDX
3/6/2017,5360.310059,^NDX
3/7/2017,5351.279785,^NDX
3/8/2017,5359.810059,^NDX
3/9/2017,5363.97998,^NDX
3/10/2017,5385.899902,^NDX
3/13/2017,5394.569824,^NDX
3/14/2017,5382.169922,^NDX
3/15/2017,5416.25,^NDX
3/16/2017,5412.080078,^NDX
3/17/2017,5408.759766,^NDX
3/20/2017,5413.310059,^NDX
3/21/2017,5332.529785,^NDX
3/22/2017,5367.549805,^NDX
3/23/2017,5355.140137,^NDX
3/24/2017,5364,^NDX
3/27/2017,5374.27002,^NDX
3/28/2017,5407.209961,^NDX
3/29/2017,5430.27002,^NDX
3/30/2017,5439.740234,^NDX
3/31/2017,5436.22998,^NDX
4/3/2017,5432.200195,^NDX
4/4/2017,5440.410156,^NDX
4/5/2017,5418.52002,^NDX
4/6/2017,5420.879883,^NDX
4/7/2017,5418.370117,^NDX
4/10/2017,5421.680176,^NDX
4/11/2017,5398.399902,^NDX
4/12/2017,5377.029785,^NDX
4/13/2017,5353.589844,^NDX
4/17/2017,5399.200195,^NDX
4/18/2017,5391.660156,^NDX
4/19/2017,5399.640137,^NDX
4/20/2017,5443.529785,^NDX
4/21/2017,5442.049805,^NDX
4/24/2017,5508.029785,^NDX
4/25/2017,5548.189941,^NDX
4/26/2017,5541.089844,^NDX
4/27/2017,5571.279785,^NDX
4/28/2017,5583.529785,^NDX
5/1/2017,5629.629883,^NDX
5/2/2017,5644.069824,^NDX
5/3/2017,5625.160156,^NDX
5/4/2017,5626.319824,^NDX
5/5/2017,5646.089844,^NDX
5/8/2017,5659.069824,^NDX
5/9/2017,5678.310059,^NDX
5/10/2017,5681.680176,^NDX
5/11/2017,5674.220215,^NDX
5/12/2017,5686.810059,^NDX
5/15/2017,5704.47998,^NDX
5/16/2017,5724.439941,^NDX
5/17/2017,5580.549805,^NDX
5/18/2017,5626.310059,^NDX
5/19/2017,5651.560059,^NDX
5/22/2017,5699.399902,^NDX
5/23/2017,5703.350098,^NDX
5/24/2017,5730.299805,^NDX
5/25/2017,5778.370117,^NDX
5/26/2017,5788.359863,^NDX
5/30/2017,5794.629883,^NDX
5/31/2017,5788.799805,^NDX
6/1/2017,5816.509766,^NDX
6/2/2017,5881.459961,^NDX
6/5/2017,5878.120117,^NDX
6/6/2017,5856.77002,^NDX
6/7/2017,5877.589844,^NDX
6/8/2017,5885.299805,^NDX
6/9/2017,5741.939941,^NDX
6/12/2017,5708.180176,^NDX
6/13/2017,5751.819824,^NDX
6/14/2017,5727.069824,^NDX
6/15/2017,5700.890137,^NDX
6/16/2017,5681.47998,^NDX
6/19/2017,5772.220215,^NDX
6/20/2017,5726.310059,^NDX
6/21/2017,5782.390137,^NDX
6/22/2017,5779.870117,^NDX
6/23/2017,5803.109863,^NDX
6/26/2017,5777.589844,^NDX
6/27/2017,5671.600098,^NDX
6/28/2017,5753.029785,^NDX
6/29/2017,5653.02002,^NDX
6/30/2017,5646.919922,^NDX
7/3/2017,5596.959961,^NDX
7/5/2017,5648.819824,^NDX
7/6/2017,5597.899902,^NDX
7/7/2017,5656.470215,^NDX
